Subrepertoire	Sample	TCRa_reads	Observation_type	Shannon_diversity	Coverage
Ctsl-dependent	30903b-045	87701	Rarefaction	1179.83898475634	0.99591826102278
Ctsl-dependent	30903b-045	87980	Rarefaction	1179.92980955423	0.99593907180427
Ctsl-dependent	30903b-045	88260	Rarefaction	1180.0203943037	0.995959776846305
Ctsl-dependent	30903b-045	88539	Rarefaction	1180.11009692413	0.995980230279965
Ctsl-dependent	30903b-045	88818	Rarefaction	1180.1992471714	0.996000508365646
Ctsl-dependent	30903b-045	89098	Rarefaction	1180.28816694857	0.996020684816678
Ctsl-dependent	30903b-045	89377	Rarefaction	1180.37622580695	0.996040617460066
Ctsl-dependent	30903b-045	89656	Rarefaction	1180.46374743013	0.996060380574009
Ctsl-dependent	30903b-045	89935	Rarefaction	1180.55073668033	0.996079976045024
Ctsl-dependent	30903b-045	90215	Rarefaction	1180.63750742559	0.996099475076192
Ctsl-dependent	30903b-045	90494	Rarefaction	1180.72344463479	0.996118740229499
Ctsl-dependent	30903b-045	90773	Rarefaction	1180.80886392716	0.996137843249345
Ctsl-dependent	30903b-045	91053	Rarefaction	1180.89407318316	0.996156853530029
Ctsl-dependent	30903b-045	91332	Rarefaction	1180.97846876979	0.996175637051369
Ctsl-dependent	30903b-045	91611	Rarefaction	1181.06236016686	0.996194263730674
